Ronald Algie|Ronald Macmillan Algie|Algie, R. M. (Ronald Macmillan), 1888-1978|1888-1978|1888-1978|1|1|Found: via dates
NA|Majid AlHydar|AlHydar, Majid|||0|0|
NA|Mohammed Ali|Ali, Mohammed|||1|0|
Jacopo Alighieri|Jacopo Alighieri|Alighieri, Jacopo, 14th cent.|1289-1348|14thcent.-|1|0|Found: via work_scan OpenL
Santeri Alkio|Santeri Alkio|Alkio, Santeri, 1862-1930|1862-1930|1862-1930|12|1|Found: via dates
Alphonse Allais|Alphonse Allais|Allais, Alphonse, 1854-1905|1854-1905|1854-1905|4|1|Found: via dates
NA|Francis Allan|Allan, Francis|||5|0|
NA|James Allan|Allan, James|||1|0|False Positive: James Allan (bishop)
NA|Luke Allan|Allan, Luke, -1962||-1962|1|0|
NA|Philip Bertram Murray Allan|Allan, P. B. M. (Philip Bertram Murray), 1884-1973||1884-1973|0|0|
NA|Paul Allardyce|Allardyce, Paul, 1855-1895||1855-1895|0|0|
NA|Robert Allbut|Allbut, Robert|||1|0|
Thomas Clifford Allbutt|Thomas Clifford Allbutt|Allbutt, Thomas Clifford, 1836-1925|1836-1925|1836-1925|1|0|Found: via dates
NA|Edward Tyson Allen|Allen, E. T. (Edward Tyson), 1875-||1875-|1|0|
NA|Edith Hedden Allen|Allen, Edith H. (Edith Hedden), 1869-||1869-|1|0|
NA|Emory Adams Allen|Allen, Emory Adams, 1853-||1853-|1|0|
Ethan Allen|Ethan Allen|Allen, Ethan|1738-1789||2|0|Found: via work_scan OpenL
NA|Frank Gibbs Allen|Allen, F. G. (Frank Gibbs), 1836-1887||1836-1887|0|0|
NA|Frank Waller Allen|Allen, Frank Waller|||1|0|
NA|Grenville F. Allen|Allen, G. F. (Grenville F.)|||1|0|
NA|George Hoyt Allen|Allen, George Hoyt|||1|0|
Grant Allen|Grant Allen|Allen, Grant, 1848-1899|1848-1899|1848-1899|22|1|Found: via dates
NA|Isaac Allen|Allen, Isaac|||1|0|
Joel Asaph Allen|Joel Asaph Allen|Allen, J. A. (Joel Asaph), 1838-1921|1838-1921|1838-1921|1|1|Found: via dates
James Lane Allen|James Lane Allen|Allen, James Lane, 1849-1925|1849-1925|1849-1925|11|1|Found: via dates
James Allen (author)|James Allen|Allen, James, 1864-1912|1864-1912|1864-1912|3|1|Found: via dates
NA|Jay Winthrop Allen|Allen, Jay Winthrop|||1|0|
NA|Lewis Falley Allen|Allen, Lewis Falley, 1800-1890||1800-1890|0|0|
NA|Margaret Allen|Allen, Margaret|||1|0|
NA|Martha Meir Allen|Allen, Martha Meir, 1854-1926||1854-1926|0|0|
